Epoch,Loss,Accuracy
1,0.1841016133009497,0.821675400622769
2,0.0616414555382783,0.9395078605604922
3,0.04971197279256956,0.9592162223741171
4,0.04537901831478702,0.9647603858130174
5,0.03730308574168245,0.9748234221918433
6,0.03296475371812352,0.9782410571884256
7,0.03181920289693138,0.9794182425761373
8,0.031315429061847935,0.9801017695754538
9,0.03066316841355415,0.9811650337966128
10,0.030331766662597424,0.9807852965747702
11,0.03001319278328458,0.9809371914635072
12,0.029763646515123924,0.9817346396293765
13,0.02968405695025618,0.9816966659071922
14,0.029574898974061486,0.981506797296271
15,0.029418925421542223,0.9820764031290347
16,0.0292702090068992,0.9825320877952457
17,0.029002527188323485,0.9820384294068505
18,0.028950830488692653,0.981203007518797
19,0.02871702458153502,0.9822282980177717
20,0.028502001017501034,0.9824941140730614
Epoch,Loss,Accuracy
1,0.6908234255713326,0.5116959064327485
2,0.6334603489433024,0.5275309485835802
3,0.6181950941105698,0.5269233690286322
4,0.6114326482936523,0.5237715500873396
5,0.6080360894380844,0.5179235968709653
6,0.6055016346091258,0.5037593984962406
7,0.6028903100347354,0.48986101617680566
8,0.5999760922100119,0.47341839447102607
9,0.5964585210294611,0.45314042682463734
10,0.5918741097757158,0.43764714817346395
11,0.583820077933505,0.4333561175666439
12,0.5625011904753086,0.46567175514543935
13,0.5128490527064957,0.5289739500265817
14,0.44318274842515226,0.5462899673425989
15,0.34996392593060305,0.6247057036530721
16,0.2960759230341481,0.6945014050277208
17,0.2852139972294169,0.7077542340700236
18,0.2822663419900124,0.7101086048454469
19,0.2813440906766721,0.7122731070099492
20,0.28099800887805887,0.7146654515075568
Epoch,Loss,Accuracy
1,0.22307468415287843,0.8312447786131997
2,0.09855035823953799,0.9359003569529886
3,0.08442059114059787,0.9352168299536721
4,0.07936678556790751,0.9389382547277284
5,0.07581229787086657,0.9411027568922306
6,0.07253389257176966,0.9439887597782335
7,0.06977252397587468,0.9474063947748158
8,0.0678916974822296,0.9488873699400016
9,0.06664502728564081,0.9491911597174755
10,0.06570458773759262,0.9502923976608187
11,0.06504742818650062,0.9491911597174755
12,0.06447769154351302,0.9504063188273715
13,0.06426381286876429,0.9504063188273715
14,0.06404420666554085,0.949267107161844
15,0.0639632690631602,0.9495329232171338
16,0.06377545611851963,0.949874686716792
17,0.06370246600254927,0.9504822662717399
18,0.06368514371147731,0.9500645553277132
19,0.06355721587899921,0.9493810283283968
20,0.06359619774158994,0.9499886078833447
Epoch,Loss,Accuracy
1,0.3395812377863684,0.7869674185463659
2,0.20162969670511505,0.8964456596035544
3,0.18539501192328106,0.9037745879851143
4,0.1764809130101933,0.9087491455912509
5,0.1683246881470916,0.9127743601427812
6,0.1619294300445989,0.917179311916154
7,0.1590445073882195,0.9182046024151287
8,0.15778171353132447,0.9195716564137617
9,0.1573424371098006,0.9206349206349206
10,0.1569878761900761,0.9218121060226323
11,0.15680041970429714,0.921926027189185
12,0.1567719585915653,0.9229133439659756
13,0.15655429543630425,0.9234070023543708
14,0.1564093722991608,0.9227614490772386
15,0.15637548470203627,0.9236728184096605
16,0.15632651251584614,0.923596870965292
17,0.15612364608009038,0.9239386344649503
18,0.15590706766117912,0.9229133439659756
19,0.15554753968867513,0.9226095541885015
20,0.15506983979740038,0.9213184476342371
Epoch,Loss,Accuracy
1,0.5685143590803287,0.6104655578339789
2,0.4418388028908252,0.7303865724918357
3,0.4204728560846767,0.7373737373737373
4,0.40837504944517106,0.7429938482570062
5,0.3898985512373754,0.7482342219184325
6,0.363849169670549,0.7706007442849548
7,0.3443069608578669,0.792169818485608
8,0.33385021422389,0.7995367205893522
9,0.3268327313002833,0.807777018303334
10,0.32142256588983553,0.8148781043517885
11,0.316852336483438,0.8128275233538391
12,0.31263276956086117,0.8105491000227842
13,0.3096415241474469,0.8076251234145971
14,0.30865815103543554,0.8074732285258601
15,0.30805746697865105,0.8074732285258601
16,0.3075565721085053,0.8077390445811499
17,0.30712523831418853,0.8079668869142553
18,0.3067303348546749,0.8072833599149388
19,0.3063600753879682,0.8077390445811499
20,0.30601612335843753,0.8073213336371231
Epoch,Loss,Accuracy
1,0.27581387702713156,0.7978658768132453
2,0.223691623657086,0.8351560719981772
3,0.21566181510363924,0.8435102908787119
4,0.21572762676614896,0.8454469507101086
5,0.21633005438659927,0.8444976076555024
6,0.2178306976615428,0.8401306296043138
7,0.21657386162772313,0.8444216602111339
8,0.21677405512566844,0.8432824485456064
9,0.21641839899055057,0.8455988455988456
10,0.2160998314145272,0.8417634996582365
11,0.21706211670103434,0.8473456368193211
12,0.21623831646923475,0.8446115288220551
13,0.21805944857708923,0.8427508164350269
14,0.21724528292988884,0.8448773448773449
15,0.2156234975297483,0.8424850003797372
16,0.2164085069281381,0.8429406850459482
17,0.1774935364147789,0.8712311080732134
18,0.14745456748901958,0.8913951545530493
19,0.1429385043241425,0.9017240069871649
20,0.12022774668944705,0.9092807777018304
Epoch,Loss,Accuracy
1,0.2227653953043295,0.7892458418774209
2,0.1983828072032147,0.8223589276220855
3,0.19571394890073449,0.8288144603934078
4,0.19350006715932846,0.829308118781803
5,0.19311932646229366,0.8316245158350422
6,0.1927553976559946,0.8331434647224121
7,0.19217262000276716,0.8340928077770183
8,0.19142656036603714,0.8332573858889648
9,0.19101999029997196,0.8334092807777018
10,0.19093557470612205,0.8343206501101238
11,0.19068368380134693,0.8362952836637048
12,0.18985210922826545,0.8365990734411787
13,0.18998798551738158,0.8368648894964684
14,0.19006176658497173,0.8384597858282069
15,0.1897584703621102,0.8371307055517582
16,0.18894047152662155,0.8389914179387864
17,0.1892900684529943,0.8399407609933925
18,0.18898272684254766,0.8399407609933925
19,0.18882673634596764,0.841383762436394
20,0.18848263408634083,0.8409660514923673
Epoch,Loss,Accuracy
1,0.644656424220654,0.5035695298853193
2,0.6153848286215127,0.5404040404040404
3,0.6009786263066217,0.5570365307207412
4,0.5919441597344857,0.5644414065466697
5,0.5851905008897251,0.5681628313207261
6,0.5804628410268944,0.5717323612060454
7,0.5767357154703517,0.5759094706463127
8,0.5735589543586682,0.5792511581985266
9,0.5708248169757991,0.5830105566947672
10,0.5686754686116277,0.5824029771398193
11,0.5669019538943645,0.5825928457507404
12,0.5653106083420442,0.588630667578036
13,0.5638418528671214,0.5909090909090909
14,0.562483940340221,0.5915166704640389
15,0.5612059712664058,0.5928837244626718
16,0.5599959468826763,0.593833067517278
17,0.5588471018493887,0.593833067517278
18,0.5577555652828609,0.5944026733500418
19,0.5567637890849964,0.5994911521227311
20,0.5558192519680436,0.5977823346244399
Epoch,Loss,Accuracy
1,0.5488169668842614,0.6466165413533834
2,0.28272680796252186,0.8438520543783702
3,0.227074258342902,0.8807625123414597
4,0.22435381433481766,0.8822055137844611
5,0.2241358302080922,0.8819776714513556
6,0.22398303070621808,0.8821675400622769
7,0.22381340124646054,0.8817878028404345
8,0.22373430104256586,0.8814460393407761
9,0.2237316073257831,0.8819776714513556
10,0.22367336884540912,0.8826611984506721
11,0.22354254305648197,0.8818637502848029
12,0.22350077915684785,0.8826611984506721
13,0.22361052135244752,0.8823953823953824
14,0.22351593984572768,0.8812941444520392
15,0.223486881042688,0.8822055137844611
16,0.22346908336053928,0.8818637502848029
17,0.22361393918537928,0.8826991721728564
18,0.22344734653007614,0.8816359079516974
19,0.22352319592976813,0.8815599605073289
20,0.22338514114938338,0.8805726437305385
Epoch,Loss,Accuracy
1,0.5795374135991792,0.5734032049821524
2,0.4742465885018939,0.6386420596946912
3,0.43858540179131633,0.6486671223513328
4,0.41442361848794285,0.6628692944482418
5,0.39593327270560885,0.6825776562618668
6,0.37957252080590276,0.6937039568618516
7,0.3652442317714172,0.7018303334092808
8,0.3532941274487746,0.7135642135642135
9,0.34372228998821347,0.7175134806713754
10,0.3361494921378102,0.722639933166249
11,0.33016555145037674,0.7221842485000379
12,0.32537852566988135,0.7254120148856991
13,0.3214868722620179,0.73471557682084
14,0.31826235071154785,0.7378673957621326
15,0.3155354337501263,0.7388926862611073
16,0.3131920208295544,0.7402977139819245
17,0.3111483068792632,0.7431077694235589
18,0.3093445631909171,0.7448545606440343
19,0.3077337612377263,0.747398800030379
20,0.3062684369225566,0.7481203007518797
