Loss Function,Epoch,Batch Count,Avg Loss,Avg Accuracy,Test Accuracy
L2,0,0,1.376098462686059,0.2,0.23
L2,0,1,0.9981496988119943,0.4,0.34
L2,0,2,0.9774606201342977,0.25,0.28
L2,0,3,1.2932697368756636,0.3,0.26
L2,0,4,1.6717697571672034,0.05,0.3
L2,0,5,1.346059773932211,0.4,0.36
L2,0,6,1.1918695175088942,0.3,0.26
L2,0,7,0.6883256135508418,0.5,0.35
L2,0,8,1.0830769466236234,0.1,0.28
L2,0,9,1.0917214492052154,0.35,0.33
L2,0,10,1.115256481693359,0.35,0.27
L2,0,11,1.3357410499826075,0.15,0.39
L2,0,12,1.377060152287595,0.2,0.36
L2,0,13,1.233690947009252,0.4,0.4
L2,0,14,0.9953160642828152,0.3,0.38
L2,0,15,1.7820263990666718,0.2,0.35
L2,0,16,1.111616163473809,0.35,0.3
L2,0,17,1.3125624576816335,0.3,0.38
L2,0,18,1.010249033913715,0.4,0.31
L2,0,19,1.015098865318987,0.3,0.37
L2,0,20,1.2484896450303495,0.3,0.28
L2,0,21,0.7931785730012052,0.45,0.37
L2,0,22,1.2712951298566852,0.4,0.31
L2,0,23,1.4465200765902408,0.2,0.3
L2,0,24,1.0168312911409885,0.35,0.3
L2,0,25,1.2335125256329775,0.2,0.29
L2,0,26,0.6145545420137426,0.55,0.38
L2,0,27,0.9303857955615967,0.15,0.25
L2,0,28,0.5549335499294102,0.45,0.3
